fighter,opp_fighter,title_bout,weight_class,stance,opp_stance,male,diff_reach_cms,diff_height_cms,diff_weight_lbs,diff_age,diff_wins,diff_losses,diff_avg_sig_str_landed,diff_avg_sig_str_pct,diff_avg_sub_att,diff_avg_td_landed,diff_avg_td_pct,winner
Matt Mitrione,Cheick Kongo,False,Heavyweight,Switch,Orthodox,1,-7.6200000000000045,-2.539999999999992,25,-3,-4,-5,2.8999999999999986,-0.048428570999999976,0.5857142860000001,-1.571428571,-0.445714286,0
Mirko Cro Cop,Roy Nelson,False,Heavyweight,Southpaw,Orthodox,1,2.539999999999992,5.0800000000000125,-33,2,2,3,1.0555555599999984,0.02388888899999997,0.333333333,-0.027777778000000003,0.097222222,0
Roy Nelson,Mirko Cro Cop,False,Heavyweight,Orthodox,Southpaw,1,-2.539999999999992,-5.0800000000000125,33,-2,-2,-3,-1.0555555599999984,-0.02388888899999997,-0.333333333,0.027777778000000003,-0.097222222,1
Scott Jorgensen,Jeff Curran,False,Bantamweight,Orthodox,Orthodox,1,-7.6200000000000045,-2.539999999999992,0,-5,1,-1,6.0,-0.06999999999999995,-1.0,1.0,1.0,1
Jeff Curran,Scott Jorgensen,False,Bantamweight,Orthodox,Orthodox,1,7.6200000000000045,2.539999999999992,0,5,-1,1,-6.0,0.06999999999999995,1.0,-1.0,-1.0,0
Hatsu Hioki,George Roop,False,Featherweight,Orthodox,Orthodox,1,-5.079999999999984,-5.079999999999984,10,-1,-2,-3,-38.2,-0.332,0.0,-0.2,-0.2,1
George Roop,Hatsu Hioki,False,Featherweight,Orthodox,Orthodox,1,5.079999999999984,5.079999999999984,-10,1,2,3,38.2,0.332,0.0,0.2,0.2,0
Dennis Siver,Donald Cerrone,False,Lightweight,Orthodox,Orthodox,1,-7.619999999999976,-17.78,-10,4,5,4,-18.416666669999998,-0.21500000000000002,-0.08333333300000001,-0.583333333,-0.008333332999999998,0
Donald Cerrone,Dennis Siver,False,Lightweight,Orthodox,Orthodox,1,7.619999999999976,17.78,10,-4,-5,-4,18.416666669999998,0.21500000000000002,0.08333333300000001,0.583333333,0.008333332999999998,1
Tyson Griffin,Bart Palaszewski,False,Featherweight,Orthodox,Orthodox,1,-5.0800000000000125,-7.6200000000000045,0,-1,8,5,46.61538462,0.386923077,0.769230769,1.538461538,0.360769231,0
Bart Palaszewski,Tyson Griffin,False,Featherweight,Orthodox,Orthodox,1,5.0800000000000125,7.6200000000000045,0,1,-8,-5,-46.61538462,-0.386923077,-0.769230769,-1.538461538,-0.360769231,1
Brandon Vera,Eliot Marshall,False,Light Heavyweight,Orthodox,Orthodox,1,-2.5400000000000205,2.539999999999992,25,3,4,4,7.446153850000002,0.26538461500000005,-0.323076923,0.26153846199999997,0.10769230800000001,1
Eliot Marshall,Brandon Vera,False,Light Heavyweight,Orthodox,Orthodox,1,2.5400000000000205,-2.539999999999992,-25,-3,-4,-4,-7.446153850000002,-0.26538461500000005,0.323076923,-0.26153846199999997,-0.10769230800000001,0
Ramsey Nijem,Danny Downes,False,Lightweight,Orthodox,Orthodox,1,7.6200000000000045,-2.539999999999992,0,-2,0,0,-20.0,-0.15,-1.0,0.0,0.0,1
Danny Downes,Ramsey Nijem,False,Lightweight,Orthodox,Orthodox,1,-7.6200000000000045,2.539999999999992,0,2,0,0,20.0,0.15,1.0,0.0,0.0,0
Chris Camozzi,Francis Carmont,False,Middleweight,Orthodox,Orthodox,1,-5.0800000000000125,-2.539999999999992,-20,-6,2,1,46.66666667,0.56,0.0,0.0,0.0,0
Francis Carmont,Chris Camozzi,False,Middleweight,Orthodox,Orthodox,1,5.0800000000000125,2.539999999999992,20,6,-2,-1,-46.66666667,-0.56,0.0,0.0,0.0,1
Dustin Jacoby,Clifford Starks,False,Middleweight,Orthodox,Orthodox,1,2.539999999999992,10.159999999999997,0,-7,0,0,0.0,0.0,0.0,0.0,0.0,0
Clifford Starks,Dustin Jacoby,False,Middleweight,Orthodox,Orthodox,1,-2.539999999999992,-10.159999999999997,0,7,0,0,0.0,0.0,0.0,0.0,0.0,1
Frankie Edgar,Gray Maynard,True,Lightweight,Orthodox,Orthodox,1,-5.0800000000000125,-7.6200000000000045,-10,-3,0,0,29.500000000000004,0.05499999999999999,-0.4,0.5,-0.28099999999999997,1
Gray Maynard,Frankie Edgar,True,Lightweight,Orthodox,Orthodox,1,5.0800000000000125,7.6200000000000045,10,3,0,0,-29.500000000000004,-0.05499999999999999,0.4,-0.5,0.28099999999999997,0
Jose Aldo,Kenny Florian,True,Featherweight,Orthodox,Southpaw,1,-10.159999999999997,-7.6200000000000045,0,-10,-11,-4,68.125,-0.02250000000000002,0.1875,3.4375,0.10500000000000004,1
Kenny Florian,Jose Aldo,True,Featherweight,Southpaw,Orthodox,1,10.159999999999997,7.6200000000000045,0,10,11,4,-68.125,0.02250000000000002,-0.1875,-3.4375,-0.10500000000000004,0
Chael Sonnen,Brian Stann,False,Middleweight,Southpaw,Orthodox,1,0.0,0.0,0,3,-1,2,7.821428569999998,0.026785714000000016,-0.303571429,3.25,0.5,1
Brian Stann,Chael Sonnen,False,Middleweight,Orthodox,Southpaw,1,0.0,0.0,0,-3,1,-2,-7.821428569999998,-0.026785714000000016,0.303571429,-3.25,-0.5,0
Leonard Garcia,Nam Phan,False,Featherweight,Orthodox,Orthodox,1,-2.5400000000000205,10.160000000000025,10,4,2,1,-44.4,-0.0010000000000000009,0.09999999999999998,0.4,0.132,0
Nam Phan,Leonard Garcia,False,Featherweight,Orthodox,Orthodox,1,2.5400000000000205,-10.160000000000025,-10,-4,-2,-1,44.4,0.0010000000000000009,-0.09999999999999998,-0.4,-0.132,1
Melvin Guillard,Joe Lauzon,False,Lightweight,Orthodox,Orthodox,1,-7.6200000000000045,-2.5400000000000205,0,1,3,1,5.214285709999999,-0.09428571399999996,-1.828571429,-0.6714285710000001,-0.15700000000000003,0
Joe Lauzon,Melvin Guillard,False,Lightweight,Orthodox,Orthodox,1,7.6200000000000045,2.5400000000000205,0,-1,-3,-1,-5.214285709999999,0.09428571399999996,1.828571429,0.6714285710000001,0.15700000000000003,1
Demian Maia,Jorge Santiago,False,Middleweight,Southpaw,Orthodox,1,-5.0800000000000125,0.0,0,3,7,0,7.4318181800000005,0.058409091000000024,0.431818182,1.409090909,-0.133636364,1
Jorge Santiago,Demian Maia,False,Middleweight,Orthodox,Southpaw,1,5.0800000000000125,0.0,0,-3,-7,0,-7.4318181800000005,-0.058409091000000024,-0.431818182,-1.409090909,0.133636364,0
Anthony Pettis,Jeremy Stephens,False,Lightweight,Orthodox,Orthodox,1,2.539999999999992,5.0800000000000125,25,-1,-7,-4,-18.916666669999998,-0.1925,0.333333333,-1.25,-0.404166667,1
Jeremy Stephens,Anthony Pettis,False,Lightweight,Orthodox,Orthodox,1,-2.539999999999992,-5.0800000000000125,-25,1,7,4,18.916666669999998,0.1925,-0.333333333,1.25,0.404166667,0
Joey Beltran,Stipe Miocic,False,Heavyweight,Orthodox,Orthodox,1,-12.699999999999989,-7.6200000000000045,-55,0,3,2,62.8,0.428,0.0,0.4,0.116,0
Stipe Miocic,Joey Beltran,False,Heavyweight,Orthodox,Orthodox,1,12.699999999999989,7.6200000000000045,55,0,-3,-2,-62.8,-0.428,0.0,-0.4,-0.116,1
Tiequan Zhang,Darren Elkins,False,Featherweight,Orthodox,Orthodox,1,-2.539999999999992,-5.0800000000000125,10,6,-1,-1,-22.0,0.27,1.0,-1.0,-0.583333333,0
Darren Elkins,Tiequan Zhang,False,Featherweight,Orthodox,Orthodox,1,2.539999999999992,5.0800000000000125,-10,-6,1,1,22.0,-0.27,-1.0,1.0,0.583333333,1
Aaron Simpson,Eric Schafer,False,Middleweight,Orthodox,Orthodox,1,-5.0800000000000125,-7.6200000000000045,-15,3,2,-2,20.571428570000002,-0.014285714000000005,-0.8571428569999999,2.571428571,0.28,1
Eric Schafer,Aaron Simpson,False,Middleweight,Orthodox,Orthodox,1,5.0800000000000125,7.6200000000000045,15,-3,-2,2,-20.571428570000002,0.014285714000000005,0.8571428569999999,-2.571428571,-0.28,0
Steve Cantwell,Mike Massenzio,False,Middleweight,Orthodox,Southpaw,1,5.0800000000000125,0.0,0,-4,0,0,30.5,-0.007499999999999951,-1.0,-1.5,-0.13,0
Mike Massenzio,Steve Cantwell,False,Middleweight,Southpaw,Orthodox,1,-5.0800000000000125,0.0,0,4,0,0,-30.5,0.007499999999999951,1.0,1.5,0.13,1
Dominick Cruz,Demetrious Johnson,True,Bantamweight,Orthodox,Orthodox,1,5.0800000000000125,12.699999999999989,10,1,-1,0,64.5,-0.09500000000000003,0.0,-3.5,-0.53,1
Demetrious Johnson,Dominick Cruz,True,Bantamweight,Orthodox,Orthodox,1,-5.0800000000000125,-12.699999999999989,-10,-1,1,0,-64.5,0.09500000000000003,0.0,3.5,0.53,0
Pat Barry,Stefan Struve,False,Heavyweight,Orthodox,Orthodox,1,-25.400000000000006,-30.47999999999999,-30,9,-2,0,6.5,-0.05333333299999998,-2.0,-0.25,-0.25,0
Stefan Struve,Pat Barry,False,Heavyweight,Orthodox,Orthodox,1,25.400000000000006,30.47999999999999,30,-9,2,0,-6.5,0.05333333299999998,2.0,0.25,0.25,1
